episode,reward
0,14
1,15
2,15
3,14
4,14
5,16
6,16
7,13
8,17
9,15
10,26
11,21
12,27
13,26
14,9
15,25
16,17
17,11
18,14
19,25
20,12
21,12
22,15
23,18
24,19
25,15
26,13
27,12
28,16
29,18
30,14
31,10
32,41
33,9
34,10
35,8
36,18
37,12
38,11
39,10
40,15
41,30
42,11
43,16
44,14
45,13
46,16
47,16
48,13
49,15
50,9
51,13
52,11
53,12
54,11
55,9
56,17
57,8
58,11
59,11
60,11
61,11
62,14
63,9
64,10
65,8
66,19
67,12
68,14
69,9
70,12
71,11
72,10
73,13
74,13
75,15
76,13
77,11
78,10
79,10
80,9
81,9
82,10
83,13
84,11
85,12
86,11
87,8
88,10
89,9
90,9
91,15
92,11
93,12
94,10
95,8
96,10
97,10
98,9
99,18
100,12
101,15
102,13
103,9
104,10
105,12
106,11
107,10
108,10
109,10
110,9
111,10
112,13
113,11
114,11
115,12
116,14
117,10
118,11
119,10
120,10
121,14
122,9
123,10
124,12
125,11
126,10
127,10
128,11
129,29
130,10
131,16
132,13
133,9
134,12
135,63
136,15
137,12
138,29
139,19
140,10
141,10
142,11
143,70
144,10
145,10
146,9
147,11
148,10
149,10
150,10
151,10
152,9
153,10
154,9
155,12
156,12
157,9
158,10
159,14
160,10
161,15
162,12
163,10
164,11
165,13
166,9
167,10
168,12
169,10
170,60
171,10
172,14
173,9
174,10
175,51
176,53
177,57
178,9
179,10
180,12
181,9
182,9
183,10
184,9
185,11
186,27
187,11
188,9
189,10
190,10
191,11
192,42
193,11
194,12
195,11
196,9
197,11
198,10
199,11
200,10
201,10
202,10
203,10
204,9
205,10
206,10
207,11
208,9
209,10
210,9
211,10
212,10
213,9
214,10
215,9
216,8
217,10
218,10
219,14
220,9
221,10
222,10
223,13
224,10
225,9
226,10
227,10
228,9
229,10
230,10
231,10
232,10
233,8
234,9
235,10
236,10
237,9
238,10
239,10
240,12
241,9
242,9
243,10
244,9
245,11
246,9
247,9
248,10
249,8
250,11
251,9
252,9
253,10
254,10
255,10
256,10
257,10
258,8
259,10
260,11
261,9
262,10
263,9
264,8
265,20
266,11
267,9
268,8
269,10
270,9
271,10
272,10
273,9
274,9
275,9
276,9
277,9
278,10
279,9
280,12
281,9
282,9
283,9
284,10
285,8
286,10
287,10
288,9
289,10
290,9
291,11
292,9
293,10
294,8
295,9
296,9
297,22
298,9
299,9
300,9
301,9
302,9
303,9
304,10
305,9
306,8
307,9
308,9
309,9
310,10
311,9
312,9
313,10
314,10
315,9
316,12
317,10
318,9
319,12
320,10
321,9
322,10
323,11
324,8
325,9
326,9
327,10
328,9
329,10
330,10
331,10
332,10
333,10
334,9
335,8
336,10
337,9
338,9
339,9
340,9
341,9
342,8
343,10
344,10
345,8
346,9
347,10
348,9
349,9
350,10
351,9
352,10
353,9
354,10
355,9
356,10
357,10
358,10
359,8
360,9
361,10
362,8
363,10
364,9
365,9
366,10
367,9
368,10
369,9
370,9
371,8
372,11
373,10
374,10
375,10
376,9
377,9
378,10
379,10
380,9
381,10
382,9
383,9
384,10
385,9
386,11
387,10
388,10
389,9
390,10
391,10
392,9
393,9
394,10
395,10
396,10
397,10
398,8
399,8
400,9
401,11
402,9
403,10
404,10
405,9
406,9
407,9
408,10
409,10
410,10
411,10
412,10
413,9
414,8
415,10
416,9
417,10
418,9
419,11
420,9
421,9
422,9
423,9
424,9
425,8
426,9
427,10
428,10
429,11
430,10
431,10
432,10
433,10
434,9
435,8
436,8
437,10
438,11
439,13
440,11
441,9
442,10
443,10
444,10
445,10
446,9
447,10
448,9
449,10
450,9
451,10
452,11
453,10
454,9
455,10
456,9
457,9
458,8
459,10
460,9
461,9
462,10
463,9
464,9
465,10
466,9
467,11
468,10
469,10
470,11
471,9
472,9
473,9
474,11
475,9
476,10
477,10
478,9
479,10
480,12
481,9
482,9
483,9
484,10
485,10
486,10
487,10
488,10
489,11
490,10
491,8
492,11
493,10
494,10
495,11
496,9
497,10
498,8
499,10
500,11
501,8
502,9
503,9
504,9
505,10
506,8
507,8
508,10
509,11
510,8
511,11
512,9
513,9
514,10
515,10
516,10
517,10
518,8
519,10
520,10
521,10
522,11
523,10
524,10
525,8
526,10
527,8
528,11
529,10
530,9
531,9
532,9
533,10
534,10
535,9
536,11
537,9
538,11
539,9
540,10
541,10
542,12
543,10
544,8
545,10
546,9
547,9
548,13
549,8
550,11
551,9
552,9
553,16
554,8
555,10
556,9
557,11
558,11
559,10
560,10
561,9
562,9
563,15
564,9
565,10
566,9
567,21
568,11
569,9
570,23
571,12
572,10
573,10
574,12
575,12
576,9
577,10
578,10
579,11
580,23
581,17
582,11
583,10
584,11
585,10
586,12
587,13
588,11
589,10
590,11
591,8
592,12
593,10
594,11
595,10
596,12
597,11
598,9
599,26
600,10
601,9
602,10
603,11
604,9
605,10
606,11
607,10
608,8
609,12
610,9
611,10
612,9
613,10
614,10
615,11
616,11
617,19
618,9
619,10
620,10
621,13
622,10
623,9
624,9
625,10
626,9
627,11
628,11
629,11
630,12
631,11
632,10
633,9
634,9
635,9
636,9
637,11
638,9
639,11
640,10
641,9
642,11
643,11
644,10
645,11
646,11
647,11
648,9
649,9
650,10
651,11
652,12
653,12
654,10
655,9
656,10
657,12
658,17
659,12
660,12
661,15
662,8
663,23
664,11
665,11
666,11
667,12
668,11
669,13
670,9
671,12
672,16
673,11
674,10
675,10
676,12
677,12
678,9
679,10
680,51
681,14
682,10
683,13
684,13
685,10
686,11
687,10
688,10
689,17
690,11
691,16
692,12
693,20
694,10
695,14
696,20
697,29
698,13
699,12
700,18
701,14
702,12
703,14
704,15
705,13
706,12
707,11
708,18
709,10
710,17
711,15
712,21
713,13
714,18
715,17
716,23
717,19
718,13
719,15
720,20
721,9
722,10
723,10
724,22
725,22
726,8
727,15
728,12
729,15
730,10
731,10
732,16
733,11
734,12
735,9
736,13
737,13
738,10
739,12
740,13
741,10
742,12
743,10
744,8
745,9
746,11
747,9
748,18
749,16
750,10
751,11
752,10
753,9
754,10
755,9
756,10
757,8
758,13
759,9
760,10
761,8
762,9
763,16
764,10
765,14
766,12
767,15
768,10
769,12
770,9
771,8
772,9
773,11
774,12
775,16
776,14
777,17
778,12
779,10
780,8
781,10
782,12
783,10
784,11
785,10
786,13
787,15
788,13
789,12
790,8
791,11
792,12
793,10
794,12
795,9
796,15
797,13
798,8
799,11
800,36
801,9
802,10
803,14
804,10
805,10
806,16
807,12
808,23
809,10
810,11
811,11
812,11
813,10
814,10
815,10
816,10
817,12
818,9
819,12
820,13
821,10
822,27
823,10
824,9
825,10
826,15
827,10
828,16
829,12
830,10
831,10
832,10
833,11
834,12
835,10
836,14
837,10
838,10
839,13
840,9
841,9
842,14
843,11
844,10
845,10
846,9
847,10
848,8
849,9
850,9
851,9
852,10
853,11
854,9
855,8
856,10
857,8
858,8
859,9
860,12
861,10
862,9
863,10
864,11
865,10
866,11
867,9
868,9
869,8
870,10
871,9
872,9
873,10
874,10
875,8
876,8
877,8
878,9
879,10
880,9
881,10
882,11
883,8
884,10
885,11
886,9
887,10
888,12
889,10
890,9
891,9
892,9
893,9
894,9
895,11
896,11
897,8
898,10
899,9
900,8
901,10
902,9
903,10
904,20
905,9
906,8
907,12
908,9
909,10
910,12
911,10
912,8
913,12
914,10
915,8
916,10
917,11
918,10
919,9
920,9
921,10
922,9
923,10
924,9
925,9
926,10
927,9
928,8
929,9
930,10
931,11
932,8
933,10
934,9
935,9
936,10
937,10
938,8
939,9
940,9
941,10
942,11
943,9
944,11
945,8
946,9
947,9
948,9
949,9
950,9
951,9
952,9
953,9
954,9
955,8
956,8
957,8
958,11
959,10
960,9
961,9
962,14
963,10
964,8
965,8
966,10
967,9
968,10
969,10
970,10
971,10
972,10
973,11
974,9
975,9
976,10
977,9
978,10
979,10
980,10
981,9
982,8
983,9
984,10
985,10
986,12
987,10
988,9
989,9
990,10
991,10
992,9
993,10
994,12
995,9
996,9
997,9
998,9
999,8
1000,10
1001,9
1002,10
1003,11
1004,12
1005,14
1006,16
1007,11
1008,11
1009,28
1010,11
1011,10
1012,9
1013,9
1014,10
1015,10
1016,23
1017,10
1018,13
1019,9
1020,10
1021,10
1022,9
1023,12
1024,9
1025,11
1026,9
1027,10
1028,9
1029,9
1030,12
1031,26
1032,14
1033,9
1034,10
1035,15
1036,11
1037,14
1038,9
1039,10
1040,10
1041,12
1042,19
1043,17
1044,16
1045,13
1046,12
1047,14
1048,14
1049,14
1050,18
1051,8
1052,11
1053,46
1054,22
1055,54
1056,8
1057,48
1058,48
1059,35
1060,39
1061,52
1062,45
1063,38
1064,28
1065,65
1066,46
1067,60
1068,32
1069,51
1070,22
1071,35
1072,10
1073,34
1074,60
1075,54
1076,54
1077,59
1078,33
1079,10
1080,36
1081,33
1082,66
1083,41
1084,11
1085,43
1086,11
1087,39
1088,11
